Repository,Stars,Contributor,Location
ClickHouse,38717,ClickHouse,"Sigüenza, Spain"
ClickHouse,38717,ClickHouse,Hamburg
ClickHouse,38717,ClickHouse,Amsterdam
ClickHouse,38717,ClickHouse,"Chiang Mai, Thailand"
ClickHouse,38717,ClickHouse,Amsterdam
ClickHouse,38717,ClickHouse,Amsterdam
ClickHouse,38717,ClickHouse,Hangzhou
ClickHouse,38717,ClickHouse,Amsterdam
ClickHouse,38717,ClickHouse,"Amsterdam, Netherlands"
ClickHouse,38717,ClickHouse,"Amsterdam, Netherlands"
ClickHouse,38717,ClickHouse,Amsterdam
ClickHouse,38717,ClickHouse,Amsterdam
autogen,38555,microsoft,"New York, USA"
autogen,38555,microsoft,"State College, Pennsylvania, US"
autogen,38555,microsoft,"Vashon, WA"
autogen,38555,microsoft,"Redmond, WA"
autogen,38555,microsoft,"Beijing, China"
autogen,38555,microsoft,"Hoboken, NJ"
autogen,38555,microsoft,Stockholm
autogen,38555,microsoft,"Zagreb, Croatia"
autogen,38555,microsoft,"New York, NY"
autogen,38555,microsoft,Australia
autogen,38555,microsoft,"New York, NY"
autogen,38555,microsoft,Sydney
autogen,38555,microsoft,Redmond
autogen,38555,microsoft,India
autogen,38555,microsoft,"Redmond, WA"
autogen,38555,microsoft,Remote
autogen,38555,microsoft,"New York, NY"
Open-Assistant,37189,LAION-AI,"Berkeley, California"
Open-Assistant,37189,LAION-AI,"Muenster, Germany, Europe"
Open-Assistant,37189,LAION-AI,"Dublin, Ireland"
Open-Assistant,37189,LAION-AI,United Kingdom
Open-Assistant,37189,LAION-AI,"Melbourne, Australia"
Open-Assistant,37189,LAION-AI,"Sibiu, Romania"
Open-Assistant,37189,LAION-AI,Germany
Open-Assistant,37189,LAION-AI,The Wilderness 
Open-Assistant,37189,LAION-AI,Terra
Open-Assistant,37189,LAION-AI,"Southport, England"
Open-Assistant,37189,LAION-AI,"Taiwan, Taipei"
Open-Assistant,37189,LAION-AI,world
Open-Assistant,37189,LAION-AI,"Irvine, California, US"
Open-Assistant,37189,LAION-AI,Singapore
Open-Assistant,37189,LAION-AI,Denmark
